id,Name,Location,Pincode,Category,Total beds ICU,Total beds normal,Total beds ventilation,Available beds ICU,Available beds normal,Available beds ventilation
3770,Avera St Lukes,"Aberdeen, SD",,Church,378,204,25,334,143,15
3771,Avera St Mary's Hospital,"Pierre, SD",,Private,158,520,50,153,313,7
3772,Avera Mckennan Hospital & University Health Center,"Sioux Falls, SD",,Private,53,315,29,29,115,12
3773,Sanford Usd Medical Center,"Sioux Falls, SD",,Private,371,206,29,9,165,0
3774,Regional Health Spearfish Hospital,"Spearfish, SD",,Private,253,610,59,75,224,22
3775,Regional Health Rapid City Hospital,"Rapid City, SD",,Private,355,119,37,110,6,2
3776,Phs Indian Hospital At Rapid City - Sioux San,"Rapid City, SD",,Government,346,403,15,168,376,5
3777,Phs Indian Hospital At Eagle Butte,"Eagle Butte, SD",,Government,10,73,34,4,12,19
3778,Phs Indian Hospital At Rosebud,"Rosebud, SD",,Government,176,554,67,51,58,18
3779,Dunes Surgical Hospital,"Dakota Dunes, SD",,Proprietary,419,534,41,77,404,30
3780,Sioux Falls Specialty Hospital Llp,"Sioux Falls, SD",,Proprietary,452,405,10,436,34,10
3781,Black Hills Surgical Hospital Llp,"Rapid City, SD",,Proprietary,392,234,41,23,88,24
3782,Same Day Surgery Center Llc,"Rapid City, SD",,Proprietary,333,282,71,259,86,66
3783,Avera Heart Hospital Of South Dakota,"Sioux Falls, SD",,Proprietary,318,570,18,95,368,3
3784,Sanford Aberdeen Medical Center,"Aberdeen, SD",,Private,112,614,27,82,475,4
3785,Madison Regional Health System,"Madison, SD",,Private,468,639,47,353,11,34
3786,Faulkton Area Medical Center,"Faulkton, SD",,Private,429,46,33,305,34,29
3787,Avera Gettysburg Hospital,"Gettysburg, SD",,Church,381,434,42,280,427,10
3788,Douglas County Memorial Hospital-cah,"Armour, SD",,Private,224,314,53,13,21,23
3789,Platte Health Center - Cah,"Platte, SD",,Private,54,478,2,16,477,0
3790,Sanford Clear Lake Medical Center,"Clear Lake, SD",,Private,193,344,40,62,73,20
3791,Eureka Community Health Services - Cah,"Eureka, SD",,Government,307,356,61,293,155,28
3792,Community Memorial Hospital,"Burke, SD",,Private,254,117,1,243,81,1
3793,Avera Flandreau Hospital - Cah,"Flandreau, SD",,Private,42,63,13,3,55,11
3794,Sanford Hospital Webster - Cah,"Webster, SD",,Private,236,226,56,101,6,6
3795,Marshall County Healthcare Center - Cah,"Britton, SD",,Proprietary,87,270,19,56,223,2
3796,Freeman Medical Center - Cah,"Freeman, SD",,Private,217,297,72,136,125,24
3797,Bennett County Hospital And Nursing Home - Cah,"Martin, SD",,Unknown,35,551,62,24,25,41
3798,Wagner Community Memorial Hospital - Cah,"Wagner, SD",,Unknown,494,136,9,304,96,8
3799,Community Memorial Hospital,"Redfield, SD",,Government,124,545,76,38,161,73
3800,Landmann-jungman Memorial Hospital - Cah,"Scotland, SD",,Government,201,122,60,188,45,25
3801,Bowdle Hospital - Cah,"Bowdle, SD",,Government,30,231,32,12,27,15
3802,Hans P Peterson Memorial Hospital - Cah,"Philip, SD",,Private,460,488,54,217,475,5
3803,Regional Health Lead-deadwood Hospital,"Deadwood, SD",,Private,374,427,40,206,138,37
3804,Regional Health Sturgis Hospital,"Sturgis, SD",,Unknown,462,348,71,355,347,6
3805,Fall River Hospital - Cah,"Hot Springs, SD",,Government,240,364,1,191,10,1
3806,Regional Health Custer Hospital,"Custer, SD",,Private,34,360,14,1,118,13
3807,Avera Weskota Memorial Medical Center - Cah,"Wessington Springs, SD",,Private,471,237,47,323,176,10
3808,Mobridge Regional Hospital - Cah,"Mobridge, SD",,Private,439,594,26,427,580,18
3809,Milbank Area Hospital/avera Health,"Milbank, SD",,Private,23,486,53,14,361,11
3810,St Michael's Hospital - Cah,"Tyndall, SD",,Government,293,454,62,119,92,12
3811,Pioneer Memorial Hospital - Cah,"Viborg, SD",,Private,228,322,18,109,232,9
3812,Sanford Chamberlain Medical Center,"Chamberlain, SD",,Private,196,318,43,49,60,41
3813,Avera St Benedict Health Center - Cah,"Parkston, SD",,Private,430,303,3,138,212,0
3814,Avera Dells Area Hospital  - Cah,"Dell Rapids, SD",,Private,26,201,48,9,146,8
3815,Avera De Smet Memorial Hospital - Cah,"De Smet, SD",,Private,231,349,50,32,181,9
3816,Sanford Canton-inwood Medical Center - Cah,"Canton, SD",,Private,163,361,54,27,251,4
3817,Winner Regional Healthcare Center - Cah,"Winner, SD",,Private,20,602,27,15,321,0
3818,Huron Regional Medical Center,"Huron, SD",,Private,252,515,12,74,225,4
3819,Sanford Vermillion Hospital,"Vermillion, SD",,Private,106,212,63,47,151,36
3820,Avera Hand County Memorial Hospital And Clinic,"Miller, SD",,Private,234,518,46,192,290,24
3821,Avera Gregory Hospital,"Gregory, SD",,Private,459,112,71,306,105,45
3822,Coteau Des Prairies Health Care System,"Sisseton, SD",,Private,477,695,10,147,559,1
3823,Lifescape,"Sioux Falls, SD",,Private,185,485,12,145,259,5
3824,Unicoi County  Hospital,"Erwin, TN",,Private,150,123,5,120,54,1
3825,Jackson-madison County General Hospital,"Jackson, TN",,Government,147,496,34,2,94,19
3826,Sumner Regional Medical Center,"Gallatin, TN",,Proprietary,466,292,14,189,149,0
3827,Tristar Skyline Medical Center,"Nashville, TN",,Private,140,390,28,12,208,13
3828,Unity Medical Center,"Manchester, TN",,Unknown,190,252,18,48,251,1
3829,Henderson County Community Hospital,"Lexington, TN",,Proprietary,212,580,18,30,420,8
3830,Cumberland Medical Center,"Crossville, TN",,Private,423,673,26,86,28,12
3831,Wayne Medical Center,"Waynesboro, TN",,Unknown,119,531,56,3,180,18
3832,Blount Memorial Hospital,"Maryville, TN",,Government,27,501,65,15,117,47
3833,Bristol Regional Medical Center,"Bristol, TN",,Government,181,91,43,136,73,4
3834,University Of Tn Medical Center (the),"Knoxville, TN",,Private,67,632,38,31,477,30
3835,Baptist Memorial Hospital Huntingdon,"Huntingdon, TN",,Private,128,366,56,86,263,9
3836,Holston Valley Medical Center,"Kingsport, TN",,Private,488,697,10,427,664,0
3837,Sycamore Shoals Hospital,"Elizabethton, TN",,Private,272,494,51,52,115,1
3838,Southern Tennessee Regional Health System Pulaski,"Pulaski, TN",,Proprietary,30,170,36,2,143,10
3839,"Laughlin Memorial Hospital, Inc","Greeneville, TN",,Private,324,488,24,65,46,19
3840,Williamson Medical Center,"Franklin, TN",,Government,255,674,76,29,440,60
3841,Morristown Hamblen Hospital Association,"Morristown, TN",,Government,109,267,41,44,251,27
3842,Roane Medical Center,"Harriman, TN",,Government,99,662,33,45,588,4
3843,Hawkins County Memorial Hospital,"Rogersville, TN",,Private,487,268,10,82,37,7
3844,Tennova Healthcare-lafollett Medical Center,"La Follette, TN",,Church,186,116,71,87,5,14
3845,Methodist Medical Center Of Oak Ridge,"Oak Ridge, TN",,Private,160,395,32,155,269,16
3846,Tennova Healthcare-clarksville,"Clarksville, TN",,Government,88,380,43,86,104,31
3847,Vanderbilt University Medical Center,"Nashville, TN",,Private,256,674,53,198,161,41
3848,Perry Community Hospital,"Linden, TN",,Proprietary,289,459,11,161,24,0
3849,Tristar Horizon Medical Center,"Dickson, TN",,Proprietary,128,459,49,31,244,35
3850,Baptist Memorial Hospital,"Memphis, TN",,Private,155,128,59,141,7,51
3851,Methodist Healthcare Memphis Hospitals,"Memphis, TN",,Church,437,447,68,422,116,22
3852,Takoma Regional Hospital,"Greeneville, TN",,Private,76,296,28,56,205,0
3853,Saint Thomas Rutherford Hospital,"Murfreesboro, TN",,Church,153,279,15,53,225,2
3854,Tennova Healthcare-jefferson Memorial Hospital,"Jefferson City, TN",,Proprietary,403,266,22,248,123,15
3855,Claiborne Medical Center,"Tazewell, TN",,Government,490,636,63,190,96,20
3856,Southern Tennessee Regional Hlth System Winchester,"Winchester, TN",,Proprietary,223,650,12,102,225,3
3857,Cookeville Regional Medical Center,"Cookeville, TN",,Government,273,691,53,231,483,32
3858,Milan General Hospital,"Milan, TN",,Government,175,697,5,69,69,5
3859,West Tennessee Healthcare Volunteer Hospital,"Martin, TN",,Proprietary,151,155,61,129,155,7
3860,Johnson City Medical Center,"Johnson City, TN",,Private,333,661,30,56,259,1
3861,Northcrest Medical Center,"Springfield, TN",,Unknown,413,526,50,294,375,38
3862,Lakeway Regional Hospital,"Morristown, TN",,Proprietary,419,149,74,144,10,14
3863,Starr Regional Medical Center Athens,"Athens, TN",,Proprietary,244,361,1,89,330,1
3864,Decatur County General Hospital,"Parsons, TN",,Government,302,316,6,71,286,0
3865,West Tennessee Healthcare Dyersburg Hospital,"Dyersburg, TN",,Proprietary,147,287,2,13,197,2
3866,Maury Regional Hospital,"Columbia, TN",,Government,406,47,12,299,17,8
3867,Leconte Medical Center,"Sevierville, TN",,Unknown,116,231,20,102,74,6
3868,Saint Thomas West Hospital,"Nashville, TN",,Church,12,198,32,6,182,4
3869,Jamestown Regional Medical Center,"Jamestown, TN",,Proprietary,56,378,3,28,206,1
3870,Sweetwater Hospital Association,"Sweetwater, TN",,Private,204,101,38,97,40,26
3871,"Memorial Healthcare System, Inc","Chattanooga, TN",,Church,204,653,59,64,179,0
3872,Lincoln Medical Center,"Fayetteville, TN",,Government,322,38,10,245,36,8
3873,Erlanger Medical Center,"Chattanooga, TN",,Government,196,364,42,147,204,16
3874,Hardin Medical Center,"Savannah, TN",,Government,396,111,33,70,109,4
3875,Fort Loudon Medical Center,"Lenoir City, TN",,Unknown,363,251,6,189,8,3
3876,Metro Nashville General Hospital,"Nashville, TN",,Government,156,421,27,63,334,11
3877,Tennova Healthcare,"Knoxville, TN",,Proprietary,139,690,46,84,218,19
3878,Fort Sanders Regional Medical Center,"Knoxville, TN",,Private,120,255,52,57,49,32
3879,Baptist Memorial Hospital Union City,"Union City, TN",,Private,341,219,59,53,158,26
3880,Baptist Memorial Hospital Tipton,"Covington, TN",,Church,213,291,50,106,102,42
3881,Henry County Medical Center,"Paris, TN",,Government,405,298,57,74,10,32
3882,Saint Thomas Midtown Hospital,"Nashville, TN",,Private,88,59,65,10,35,33
3883,Tennova Healthcare-shelbyville,"Shelbyville, TN",,Proprietary,417,431,10,19,423,6
3884,Tennova Healthcare-harton,"Tullahoma, TN",,Unknown,331,161,51,237,136,16
3885,Saint Thomas Dekalb Hospital,"Smithville, TN",,Church,42,267,11,8,212,11
3886,Tristar Summit Medical Center,"Hermitage, TN",,Proprietary,96,68,51,45,15,13
3887,Saint Thomas River Park Hospital,"Mc Minnville, TN",,Proprietary,440,499,27,242,473,18
3888,Regional One Health,"Memphis, TN",,Government,215,429,59,152,43,59
3889,Tennova Healthcare-newport Medical Center,"Newport, TN",,Church,340,198,16,246,164,0
3890,Parkridge Medical Center,"Chattanooga, TN",,Proprietary,207,170,47,80,88,39
3891,Delta Medical Center,"Memphis, TN",,Proprietary,21,151,33,5,40,27
3892,Tristar Centennial Medical Center,"Nashville, TN",,Proprietary,226,543,42,92,146,31
3893,Parkwest Medical Center,"Knoxville, TN",,Private,245,166,42,57,121,31
3894,Southern Tennessee Regional Health System Lawrence,"Lawrenceburg, TN",,Unknown,307,115,5,307,93,0
3895,Indian Path Community Hospital,"Kingsport, TN",,Private,90,579,77,14,437,2
3896,Jellico Community Hospital,"Jellico, TN",,Private,286,144,5,101,80,1
3897,Mckenzie Regional Hospital,"Mc Kenzie, TN",,Proprietary,232,178,19,170,157,11
3898,St Francis Hospital,"Memphis, TN",,Proprietary,285,302,73,212,153,66
3899,Franklin Woods Community Hospital,"Johnson City, TN",,Private,38,274,76,24,114,61
3900,Tennova Healthcare-cleveland,"Cleveland, TN",,Proprietary,238,488,62,222,454,34
3901,Livingston Regional Hospital,"Livingston, TN",,Proprietary,203,64,61,3,45,61
3902,Saint Thomas Highlands Hospital,"Sparta, TN",,Proprietary,306,292,69,252,76,27
3903,Tennova Healthcare-lebanon,"Lebanon, TN",,Private,451,145,19,159,127,12
3904,Tristar Hendersonville Medical Center,"Hendersonville, TN",,Unknown,282,310,33,26,206,27
3905,Tristar Southern Hills Medical Center,"Nashville, TN",,Proprietary,364,622,73,90,239,44
3906,Saint Thomas Stones River Hospital,"Woodbury, TN",,Proprietary,216,336,13,50,180,5
3907,Saint Thomas Hospital For Specialty Surgery,"Nashville, TN",,Unknown,160,695,57,94,284,55
3908,Tristar Stonecrest Medical Center,"Smyrna, TN",,Proprietary,210,682,17,148,587,12
3909,Saint Francis Bartlett Medical Center,"Bartlett, TN",,Proprietary,53,579,7,24,31,6
3910,Trustpoint Hospital,"Murfreesboro, TN",,Proprietary,205,162,31,134,89,8
3911,Big South Fork Medical Center,"Oneida, TN",,Proprietary,59,295,3,40,83,1
3912,Saint Thomas Hickman Hospital,"Centerville, TN",,Private,388,97,15,325,48,6
3913,Trousdale Medical Center,"Hartsville, TN",,Unknown,415,311,37,53,56,15
3914,Three Rivers Hospital,"Waverly, TN",,Private,466,447,38,10,418,21
3915,Johnson County Community Hospital,"Mountain City, TN",,Private,127,644,9,78,441,4
3916,Macon Community Hospital,"Lafayette, TN",,Private,483,345,28,301,217,27
3917,Erlanger Bledsoe Hospital,"Pikeville, TN",,Government,66,503,59,33,444,14
3918,Riverview Regional Medical Center,"Carthage, TN",,Proprietary,282,576,12,190,537,12
3919,Marshall Medical Center,"Lewisburg, TN",,Government,100,655,18,67,429,8
3920,Rhea Medical Center,"Dayton, TN",,Government,211,138,13,177,70,7
3921,Tristar Ashland City Medical Center,"Ashland City, TN",,Proprietary,245,177,22,1,113,13
3922,Hancock County Hospital,"Sneedville, TN",,Unknown,263,526,48,259,484,13
3923,Lauderdale Community Hospital,"Ripley, TN",,Proprietary,350,534,17,326,468,1
3924,Camden General Hospital,"Camden, TN",,Government,87,429,70,6,180,60
3925,Cumberland River Hospital,"Celina, TN",,Government,217,375,69,170,243,8
3926,Houston County Community Hospital,"Erin, TN",,Government,142,227,10,117,128,6
3927,St Jude Childrens Research Hospital,"Memphis, TN",,Private,480,666,17,442,525,11
3928,East Tennessee Childrens Hospital,"Knoxville, TN",,Private,89,69,43,66,10,18
3929,The Hospitals Of Providence Memorial Campus,"El Paso, TX",,Proprietary,178,344,6,116,291,2
3930,Peterson Regional Medical Center,"Kerrville, TX",,Private,231,519,29,78,445,20
3931,United Regional Health Care System,"Wichita Falls, TX",,Private,141,96,48,111,16,10
3932,St Joseph Regional Health Center,"Bryan, TX",,Private,51,625,38,40,235,37
3933,Parkland Health And Hospital System,"Dallas, TX",,Government,425,675,2,42,193,0
3934,University Of Texas Medical Branch,"Galveston, TX",,Government,77,49,61,23,36,44
3935,Baylor University Medical Center,"Dallas, TX",,Church,128,119,22,49,61,9
3936,Citizens Medical Center,"Victoria, TX",,Unknown,405,243,16,404,78,9
3937,University Medical Center Of El Paso,"El Paso, TX",,Government,85,369,17,40,87,1
3938,Valley Baptist Medical Center- Brownsville,"Brownsville, TX",,Proprietary,68,53,45,29,37,8
3939,Laredo Medical Center,"Laredo, TX",,Proprietary,288,681,21,214,387,17
3940,Christus Good Shepherd Medical Center Marshall,"Marshall, TX",,Private,469,155,69,227,29,48
3941,Vhs Harlingen Hospital Company Llc,"Harlingen, TX",,Proprietary,469,327,31,83,75,1
3942,Christus Southeast Texas- St Elizabeth,"Beaumont, TX",,Church,314,230,33,83,118,26
3943,St Joseph Medical Center,"Houston, TX",,Proprietary,462,233,70,282,136,46
3944,Jps Health Network,"Fort Worth, TX",,Government,221,344,29,76,71,28
3945,Covenant Medical Center,"Lubbock, TX",,Church,62,541,19,15,303,5
3946,Providence Health Center,"Waco, TX",,Private,490,655,65,179,396,14
3947,Ut Southwestern University Hospital,"Dallas, TX",,Government,473,394,69,147,273,41
3948,Christus Spohn Hospital Corpus Christi,"Corpus Christi, TX",,Private,264,323,54,190,249,32
3949,Methodist Dallas Medical Center,"Dallas, TX",,Unknown,190,604,53,171,295,28
3950,Baylor Scott & White Medical Center - Temple,"Temple, TX",,Private,96,561,55,33,150,46
3951,Rolling Plains Memorial Hospital,"Sweetwater, TX",,Government,124,163,17,62,132,13
3952,Seton Medical Center Austin,"Austin, TX",,Private,383,618,73,175,350,29
3953,Baptist Medical Center,"San Antonio, TX",,Proprietary,237,54,5,73,15,1
3954,Texas Health Arlington Memorial Hospital,"Arlington, TX",,Private,472,400,49,230,233,36
3955,Memorial Hermann Texas Medical Center,"Houston, TX",,Private,340,485,60,69,192,29
3956,Brazosport Regional Health System,"Lake Jackson, TX",,Private,399,107,26,223,14,14
3957,Anson General Hospital,"Anson, TX",,Government,455,435,36,435,168,11
3958,Baylor Medical Center At Irving,"Irving, TX",,Private,398,325,24,78,54,8
3959,Titus Regional Medical Center,"Mount Pleasant, TX",,Government,390,549,9,194,198,9
3960,Christus Spohn Hospital Beeville,"Beeville, TX",,Church,328,543,38,281,419,34
3961,Ut Health East Texas Tyler Regional Hospital,"Tyler, TX",,Private,51,206,59,33,173,12
3962,Graham Regional Medical Center,"Graham, TX",,Government,286,65,36,167,23,27
3963,Medical City North Hills,"North Richland Hills, TX",,Proprietary,232,58,8,69,43,5
3964,North Texas Medical Center,"Gainesville, TX",,Government,184,511,51,12,204,14
3965,Fort Duncan Medical Center,"Eagle Pass, TX",,Proprietary,269,141,49,100,101,7
3966,Bayshore Medical Center,"Pasadena, TX",,Proprietary,381,42,75,278,38,26
3967,Pampa Regional Medical Center,"Pampa, TX",,Private,195,271,22,76,181,18
3968,Baylor Scott & White Medical Center Hillcrest,"Waco, TX",,Private,102,671,59,40,564,17
3969,Christus Mother Frances Hospital,"Tyler, TX",,Private,440,596,52,106,20,24
3970,Guadalupe Regional Medical Center,"Seguin, TX",,Unknown,300,146,69,122,144,52
3971,Las Palmas Medical Center,"El Paso, TX",,Proprietary,207,319,22,15,257,10
3972,Connally Memorial Medical Center,"Floresville, TX",,Government,466,467,31,87,103,1
3973,South Texas Health System,"Edinburg, TX",,Proprietary,332,435,33,172,364,32
3974,Dell Seton  Med Center At The University Of Tx,"Austin, TX",,Private,316,200,49,288,112,42
3975,Knapp Medical Center,"Weslaco, TX",,Private,157,319,32,49,195,3
3976,Nix Health Care System,"San Antonio, TX",,Proprietary,417,466,36,347,176,13
3977,Medical Center Hospital,"Odessa, TX",,Government,219,622,29,165,59,29
3978,Midland Memorial Hospital,"Midland, TX",,Government,17,155,8,7,50,6
3979,Texas Health Harris Methodist Fort Worth,"Fort Worth, TX",,Church,283,615,5,251,364,3
3980,Baylor Scott And White All Saints Medical Center,"Fort Worth, TX",,Private,183,455,57,8,7,57
3981,Seton Smithville Regional Hospital,"Smithville, TX",,Church,96,355,27,37,115,11
3982,Permian Regional Medical Center Andrews County Ho,"Andrews, TX",,Government,441,144,63,61,99,39
3983,Detar Healthcare System,"Victoria, TX",,Proprietary,363,233,59,173,158,49
3984,Texas Health Harris Methodist Hospital Cleburne,"Cleburne, TX",,Church,237,586,74,151,489,32
3985,Metroplex Hospital,"Killeen, TX",,Private,464,448,38,235,353,21
3986,Val Verde Regional Medical Center,"Del Rio, TX",,Proprietary,52,84,76,14,17,26
3987,Hereford Regional Medical Center,"Hereford, TX",,Government,443,536,39,143,99,30
3988,Grace Medical Center,"Lubbock, TX",,Unknown,365,219,60,268,153,30
3989,Christus Spohn Hospital Kleberg,"Kingsville, TX",,Private,12,63,42,5,61,30
3990,Methodist Hospital South,"Jourdanton, TX",,Proprietary,461,406,7,62,337,3
3991,Mission Regional Medical Center,"Mission, TX",,Private,131,364,73,68,314,56
3992,Memorial Hermann Hospital System,"Houston, TX",,Private,401,683,56,67,316,53
3993,Scott & White Hospital Brenham,"Brenham, TX",,Private,227,111,71,81,64,32
3994,Hill Regional Hospital,"Hillsboro, TX",,Private,464,84,14,163,27,9
3995,Chi St Luke's Health Baylor College Of Medicine Me,"Houston, TX",,Church,260,155,71,25,135,49
3996,Ut Health East Texas Jacksonville Hospital,"Jacksonville, TX",,Private,409,88,65,246,38,49
3997,Paris Regional Medical Center,"Paris, TX",,Proprietary,214,620,77,208,507,11
3998,Wadley Regional Medical Center,"Texarkana, TX",,Unknown,197,181,45,140,145,30
3999,Medical City Weatherford,"Weatherford, TX",,Proprietary,466,288,30,177,250,10
4000,Northwest Texas Hospital,"Amarillo, TX",,Proprietary,369,181,15,20,79,3
4001,Ut Health East Texas Carthage Hospital,"Carthage, TX",,Private,306,47,55,117,22,4
4002,Chi St Lukes Health Memorial Lufkin,"Lufkin, TX",,Private,272,400,16,47,187,4
4003,University Health System,"San Antonio, TX",,Government,194,111,13,40,79,3
4004,Baylor Scott & White Medical Center - Llano,"Llano, TX",,Private,154,54,45,12,46,16
4005,Conroe Regional Medical Center,"Conroe, TX",,Proprietary,423,467,1,366,148,0
4006,Hendrick Medical Center,"Abilene, TX",,Private,189,420,5,84,34,2
4007,Baptist St Anthony's Hospital,"Amarillo, TX",,Proprietary,476,350,15,33,138,14
4008,Memorial Hospital,"Gonzales, TX",,Government,232,265,23,95,79,1
4009,Christus Mother Frances Hospital Sulphur Springs,"Sulphur Springs, TX",,Proprietary,87,83,60,28,76,34
4010,Christus Santa Rosa Medical Center,"San Antonio, TX",,Church,59,130,69,48,87,4
4011,Faith Community Hospital,"Jacksboro, TX",,Government,391,126,75,268,66,21
4012,Hamlin Memorial Hospital,"Hamlin, TX",,Government,440,165,15,9,90,8
4013,Bellville St Joseph Health Center,"Bellville, TX",,Proprietary,235,540,18,28,113,6
4014,Wise Regional Health System,"Decatur, TX",,Government,247,520,55,16,444,33
4015,Central Texas Medical Center,"San Marcos, TX",,Private,85,184,26,19,16,3
4016,Harris Health System,"Houston, TX",,Government,32,576,76,25,34,66
4017,Texas Health Presbyterian Hospital Kaufman,"Kaufman, TX",,Private,267,601,31,242,220,30
4018,College Station Medical Center,"College Station, TX",,Proprietary,491,495,4,353,126,2
4019,Texoma Medical Center,"Denison, TX",,Proprietary,406,383,46,14,116,25
4020,Oakbend Medical Center,"Richmond, TX",,Government,4,234,47,2,212,34
4021,San Angelo Community Medical Center,"San Angelo, TX",,Proprietary,86,83,50,17,58,18
4022,Baptist Beaumont Hospital,"Beaumont, TX",,Private,196,163,50,83,65,27
4023,Huntsville Memorial Hospital,"Huntsville, TX",,Private,330,587,7,74,427,2
4024,Falls Community Hospital And Clinic,"Marlin, TX",,Private,119,525,24,53,113,4
4025,Texas Health Harris Methodist Hospital Stephenvill,"Stephenville, TX",,Private,472,153,23,183,45,17
4026,Hunt Regional Medical Center,"Greenville, TX",,Government,414,646,76,136,116,41
4027,Houston Methodist Hospital,"Houston, TX",,Private,41,333,76,19,245,60
4028,Childress Regional Medical Center,"Childress, TX",,Government,61,113,26,3,27,8
4029,Columbus Community Hospital,"Columbus, TX",,Private,412,139,9,319,79,9
4030,Baylor Scott & White Medical Center- Waxahachie,"Waxahachie, TX",,Private,160,49,55,156,22,1
4031,Dallas Medical Center,"Dallas, TX",,Proprietary,270,53,13,257,0,10
4032,Methodist Hospital,"San Antonio, TX",,Proprietary,123,446,15,70,223,2
4033,Ut Health East Texas Athens Hospital,"Athens, TX",,Private,227,269,56,82,125,17
4034,Memorial Medical Center Livingston,"Livingston, TX",,Private,68,253,16,5,232,2
4035,Brownfield Regional Medical Center,"Brownfield, TX",,Government,111,275,27,53,231,24
4036,Parkview Regional Hospital,"Mexia, TX",,Proprietary,453,170,19,188,0,9
4037,Medical Center Of Mckinney,"Mckinney, TX",,Proprietary,111,274,7,38,173,5
4038,Eastland Memorial Hospital,"Eastland, TX",,Government,318,246,11,144,92,7
4039,Texas Health Harris Methodist Hospital Azle,"Azle, TX",,Church,372,502,72,322,159,30
4040,Baylor Medical Center At Uptown,"Dallas, TX",,Proprietary,259,88,56,234,68,12
4041,Houston Methodist San Jacinto Hospital,"Baytown, TX",,Private,274,424,77,14,326,60
4042,St David's Medical Center,"Austin, TX",,Unknown,288,332,4,273,192,3
4043,Navarro Regional Hospital,"Corsicana, TX",,Unknown,111,497,76,14,156,54
4044,Glen Rose Medical Center,"Glen Rose, TX",,Government,59,104,29,39,88,10
4045,Tyler County Hospital,"Woodville, TX",,Government,41,107,41,1,31,41
4046,Texas Health Presbyterian Hospital  Dallas,"Dallas, TX",,Private,421,235,38,250,137,13
4047,Matagorda Regional Medical Center,"Bay City, TX",,Government,258,439,7,105,314,5
4048,Wilson N Jones Regional Medical Center,"Sherman, TX",,Proprietary,224,37,5,95,19,3
4049,Ut Health East Texas Henderson Hospital,"Henderson, TX",,Private,333,657,39,108,63,36
4050,Woodland Heights Medical Center,"Lufkin, TX",,Proprietary,172,354,16,11,100,12
4051,Allegiance Specialty Hospital Of Kilgore,"Kilgore, TX",,Proprietary,162,123,5,44,26,1
4052,Medical Arts Hospital,"Lamesa, TX",,Government,387,66,60,224,45,48
4053,Stephens Memorial Hospital,"Breckenridge, TX",,Government,90,356,35,78,47,33
4054,Memorial Hospital,"Nacogdoches, TX",,Government,2,266,17,1,10,8
4055,The Medical Center Of Southeast Texas,"Port Arthur, TX",,Proprietary,110,427,1,88,51,1
4056,Methodist Richardson Medical Center,"Richardson, TX",,Government,466,569,36,203,166,9
4057,Covenant Hospital Plainview,"Plainview, TX",,Private,252,587,61,232,235,13
4058,Abilene Regional Medical Center,"Abilene, TX",,Proprietary,181,459,46,113,397,8
4059,Baylor Scott & White Medical Center  Grapevine,"Grapevine, TX",,Private,173,312,15,61,125,14
4060,Palo Pinto General Hospital,"Mineral Wells, TX",,Government,154,365,7,124,255,6
4061,Shannon Medical Center,"San Angelo, TX",,Private,103,653,60,81,337,41
4062,Christus Jasper Memorial Hospital,"Jasper, TX",,Government,309,676,73,283,565,42
4063,Hemphill County Hospital,"Canadian, TX",,Government,192,641,21,18,109,19
4064,Wilbarger General Hospital,"Vernon, TX",,Government,360,477,12,306,180,6
4065,Seymour Hospital,"Seymour, TX",,Government,147,659,13,99,375,7
4066,Brownwood Regional Medical Center,"Brownwood, TX",,Proprietary,467,689,44,205,577,6
4067,Lake Granbury Medical Center,"Granbury, TX",,Proprietary,427,279,42,408,249,36
4068,Cuero Regional Hospital,"Cuero, TX",,Government,293,116,41,62,40,0
4069,Hill Country Memorial Hospital Inc,"Fredericksburg, TX",,Private,402,487,51,347,53,9
4070,Care Regional Medical Center,"Aransas Pass, TX",,Proprietary,358,354,25,186,288,11
4071,Memorial Hermann Memorial City Medical Center,"Houston, TX",,Private,136,123,46,126,122,38
4072,Clear Lake Regional Medical Center,"Webster, TX",,Proprietary,227,289,30,51,253,23
4073,Medical City Denton,"Denton, TX",,Proprietary,220,202,3,131,155,0
4074,Houston Northwest Medical Center,"Houston, TX",,Proprietary,211,567,9,161,149,7
4075,Texas Health Harris Methodist Hurst-euless-bedford,"Bedford, TX",,Private,305,138,43,92,76,19
4076,Nocona General Hospital,"Nocona, TX",,Government,60,616,33,26,594,30
4077,Doctors Hospital Of Laredo,"Laredo, TX",,Proprietary,177,382,34,42,33,20
4078,West Houston Medical Center,"Houston, TX",,Proprietary,20,284,44,10,179,9
4079,Medical City Dallas,"Dallas, TX",,Proprietary,400,54,29,50,54,5
4080,Medical Center Of Plano,"Plano, TX",,Proprietary,390,632,68,284,448,52
4081,Scenic Mountain Medical Center,"Big Spring, TX",,Proprietary,133,111,12,44,78,3
4082,Starr County Memorial Hospital,"Rio Grande City, TX",,Government,82,694,57,30,121,22
4083,Nacogdoches Medical Center,"Nacogdoches, TX",,Unknown,180,553,45,119,531,32
4084,Freestone Medical Center,"Fairfield, TX",,Government,82,149,21,40,14,20
4085,Park Plaza Hospital,"Houston, TX",,Proprietary,50,505,42,30,213,1
4086,Odessa Regional Medical Center,"Odessa, TX",,Proprietary,434,132,42,411,36,17
4087,Valley Regional Medical Center,"Brownsville, TX",,Proprietary,352,348,23,33,147,10
4088,Sierra Medical Center,"El Paso, TX",,Proprietary,429,393,41,46,194,39
